protocol_name,sheet_name,field_name,definition,field_type,format_text,unit,field_sheet_notes
oyster reef habitats,sample metadata,site_code,,,,,
oyster reef habitats,sample metadata,location_name,,,,,
oyster reef habitats,sample metadata,reef_id,Unique numeric ID assigned to each reef at a location,numeric,,,
oyster reef habitats,sample metadata,sample_collection_year,,,,,
oyster reef habitats,sample metadata,sample_collection_month,,,,,
oyster reef habitats,sample metadata,sample_collection_day,,,,,
oyster reef habitats,sample metadata,reef_area_sq_m,Reef area in square meters,numeric,,square meters,
oyster reef habitats,sample metadata,reef_area_method,"The method used to measure reef area: ""handheld gps"", ""drone"", ""transect tape""",text,,,
oyster reef habitats,sample metadata,data_entry_person,,,,,
oyster reef habitats,sample metadata,sample_metadata_notes,,,,,
oyster reef habitats,reef height data,site_code,,,,,
oyster reef habitats,reef height data,location_name,,,,,
oyster reef habitats,reef height data,reef_id,Unique numeric ID assigned to each reef at a location,numeric,,,
oyster reef habitats,reef height data,sample_collection_year,,,,,
oyster reef habitats,reef height data,sample_collection_month,,,,,
oyster reef habitats,reef height data,sample_collection_day,,,,,
oyster reef habitats,reef height data,point,"The point number associated with the reef height measurement (e.g. 1, 2, 3, 4, etc.)",numeric,,,
oyster reef habitats,reef height data,reef_height,"The height of the reef at the associated point in either centimeters or meters. Specify the unit in the ""unit"" column",numeric,,,
oyster reef habitats,reef height data,compass_direction,"The compass direction each point represents in the reef (N, S, E, W)",text,,,
oyster reef habitats,reef height data,unit,"The unit of reef height, either ""centimeters"" or ""meters""",text,,,
oyster reef habitats,primary substrate composition,site_code,,,,,
oyster reef habitats,primary substrate composition,location_name,,,,,
oyster reef habitats,primary substrate composition,reef_id,Unique numeric ID assigned to each reef at a location,numeric,,,
oyster reef habitats,primary substrate composition,transect,,,,,
oyster reef habitats,primary substrate composition,sample_collection_year,,,,,
oyster reef habitats,primary substrate composition,sample_collection_month,,,,,
oyster reef habitats,primary substrate composition,sample_collection_day,,,,,
oyster reef habitats,primary substrate composition,quadrat,,,,,
oyster reef habitats,primary substrate composition,box_count,The number of points occurring over oysters classified as box (dead and gaping with both bivalved shells still attached at the umbo) per quadrat,numeric,,,
oyster reef habitats,primary substrate composition,cultch_count,The number of points occurring over oysters classified as cultch (single shell or shell fragments) per quadrat,numeric,,,
oyster reef habitats,primary substrate composition,live_count,The number of points occurring over live oysters per quadrat,numeric,,,
oyster reef habitats,primary substrate composition,sediment_count,The number of points occurring over sediment,numeric,,,
oyster reef habitats,primary substrate composition,other_type,"Specify other type(s) of cover present in the quadrat, such as shell hash and rock. ",text,,,
oyster reef habitats,primary substrate composition,other_count,"The cover associated with the cover type described in ""other_type"". ",numeric,,,
oyster reef habitats,primary substrate composition,primary_substrate_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
oyster reef habitats,composition - canopy taxa,site_code,,,,,
oyster reef habitats,composition - canopy taxa,location_name,,,,,
oyster reef habitats,composition - canopy taxa,reef_id,Unique numeric ID assigned to each reef at a location,numeric,,,
oyster reef habitats,composition - canopy taxa,transect,,,,,
oyster reef habitats,composition - canopy taxa,sample_collection_year,,,,,
oyster reef habitats,composition - canopy taxa,sample_collection_month,,,,,
oyster reef habitats,composition - canopy taxa,sample_collection_day,,,,,
oyster reef habitats,composition - canopy taxa,quadrat,,,,,
oyster reef habitats,composition - canopy taxa,scientific_name,,,,,
oyster reef habitats,composition - canopy taxa,identification_notes,,,,,
oyster reef habitats,composition - canopy taxa,canopy_taxa_count,"The number of points occurring over species identified in ""scientific_name"" column",numeric,,,
oyster reef habitats,composition - canopy taxa,canopy_taxa_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
oyster reef habitats,excavation length,site_code,,,,,
oyster reef habitats,excavation length,location_name,,,,,
oyster reef habitats,excavation length,reef_id,Unique numeric ID assigned to each reef at a location,numeric,,,
oyster reef habitats,excavation length,transect,,,,,
oyster reef habitats,excavation length,sample_collection_year,,,,,
oyster reef habitats,excavation length,sample_collection_month,,,,,
oyster reef habitats,excavation length,sample_collection_day,,,,,
oyster reef habitats,excavation length,quadrat,,,,,
oyster reef habitats,excavation length,scientific_name,,,,,
oyster reef habitats,excavation length,identification_notes,,,,,
oyster reef habitats,excavation length,oyster_type,"indicate whether oyster is ""live"" or ""box""",text,,,
oyster reef habitats,excavation length,height_mm,The height of the oyster from umbo to distal edge of the shell,numeric,,millimeters,
oyster reef habitats,excavation length,sample_height_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
oyster reef habitats,excavation count,site_code,,,,,
oyster reef habitats,excavation count,location_name,,,,,
oyster reef habitats,excavation count,reef_id,Unique numeric ID assigned to each reef at a location,numeric,,,
oyster reef habitats,excavation count,transect,,,,,
oyster reef habitats,excavation count,sample_collection_year,,,,,
oyster reef habitats,excavation count,sample_collection_month,,,,,
oyster reef habitats,excavation count,sample_collection_day,,,,,
oyster reef habitats,excavation count,quadrat,,,,,
oyster reef habitats,excavation count,scientific_name,,,,,
oyster reef habitats,excavation count,identification_notes,,,,,
oyster reef habitats,excavation count,oyster_type,"indicate whether oyster is ""live"" or ""box""",text,,,
oyster reef habitats,excavation count,oyster_count,"The total count of oysters of the type indicated in ""oyster type"" per quadrat",numeric,,,
oyster reef habitats,excavation count,sample_frequency_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
oyster reef habitats,rugosity,site_code,,,,,
oyster reef habitats,rugosity,location_name,,,,,
oyster reef habitats,rugosity,reef_id,Unique numeric ID assigned to each reef at a location,numeric,,,
oyster reef habitats,rugosity,transect,,,,,
oyster reef habitats,rugosity,sample_collection_year,,,,,
oyster reef habitats,rugosity,sample_collection_month,,,,,
oyster reef habitats,rugosity,sample_collection_day,,,,,
oyster reef habitats,rugosity,pre_chain_length,The total length of the chain before it is laid out on the reef,numeric,,centimeters,
oyster reef habitats,rugosity,post_chain_length,The total length of the chain laid out along the substrate to conform with the oysters,numeric,,centimeters,
oyster reef habitats,rugosity,rugosity_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
oyster reef habitats,biobox data,site_code,,,,,
oyster reef habitats,biobox data,location_name,,,,,
oyster reef habitats,biobox data,reef_id,Unique numeric ID assigned to each reef at a location,numeric,,,
oyster reef habitats,biobox data,biobox_id,"A unique numeric identifier assigned to each biobox (e.g. 1, 2, 3, etc.)",numeric,,,
oyster reef habitats,biobox data,sample_collection_year,,,,,
oyster reef habitats,biobox data,sample_collection_month,,,,,
oyster reef habitats,biobox data,sample_collection_day,,,,,
oyster reef habitats,biobox data,scientific_name,,,,,
oyster reef habitats,biobox data,identification_notes,,,,,
oyster reef habitats,biobox data,biobox_count,The total count of individuals per taxa in the biobox,numeric,,,
oyster reef habitats,biobox data,biobox_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
